KatjaSuding,2008-01-01 00:00:00,2008-02-01 00:00:00,0,0
KatjaSuding,2008-02-01 00:00:00,2008-03-01 00:00:00,0,1
KatjaSuding,2008-03-01 00:00:00,2008-04-01 00:00:00,0,2
KatjaSuding,2008-04-01 00:00:00,2008-05-01 00:00:00,0,3
KatjaSuding,2008-05-01 00:00:00,2008-06-01 00:00:00,0,4
KatjaSuding,2008-06-01 00:00:00,2008-07-01 00:00:00,0,5
KatjaSuding,2008-07-01 00:00:00,2008-08-01 00:00:00,0,6
KatjaSuding,2008-08-01 00:00:00,2008-09-01 00:00:00,0,7
KatjaSuding,2008-09-01 00:00:00,2008-10-01 00:00:00,0,8
KatjaSuding,2008-10-01 00:00:00,2008-11-01 00:00:00,0,9
KatjaSuding,2008-11-01 00:00:00,2008-12-01 00:00:00,0,10
KatjaSuding,2008-12-01 00:00:00,2009-01-01 00:00:00,0,11
KatjaSuding,2009-01-01 00:00:00,2009-02-01 00:00:00,3,12
KatjaSuding,2009-02-01 00:00:00,2009-03-01 00:00:00,11,13
KatjaSuding,2009-03-01 00:00:00,2009-04-01 00:00:00,2,14
KatjaSuding,2009-04-01 00:00:00,2009-05-01 00:00:00,3,15
KatjaSuding,2009-05-01 00:00:00,2009-06-01 00:00:00,8,16
KatjaSuding,2009-06-01 00:00:00,2009-07-01 00:00:00,5,17
KatjaSuding,2009-07-01 00:00:00,2009-08-01 00:00:00,8,18
KatjaSuding,2009-08-01 00:00:00,2009-09-01 00:00:00,11,19
KatjaSuding,2009-09-01 00:00:00,2009-10-01 00:00:00,8,20
KatjaSuding,2009-10-01 00:00:00,2009-11-01 00:00:00,3,21
KatjaSuding,2009-11-01 00:00:00,2009-12-01 00:00:00,5,22
KatjaSuding,2009-12-01 00:00:00,2010-01-01 00:00:00,5,23
KatjaSuding,2010-01-01 00:00:00,2010-02-01 00:00:00,11,24
KatjaSuding,2010-02-01 00:00:00,2010-03-01 00:00:00,4,25
KatjaSuding,2010-03-01 00:00:00,2010-04-01 00:00:00,6,26
KatjaSuding,2010-04-01 00:00:00,2010-05-01 00:00:00,5,27
KatjaSuding,2010-05-01 00:00:00,2010-06-01 00:00:00,1,28
KatjaSuding,2010-06-01 00:00:00,2010-07-01 00:00:00,1,29
KatjaSuding,2010-07-01 00:00:00,2010-08-01 00:00:00,0,30
KatjaSuding,2010-08-01 00:00:00,2010-09-01 00:00:00,1,31
KatjaSuding,2010-09-01 00:00:00,2010-10-01 00:00:00,3,32
KatjaSuding,2010-10-01 00:00:00,2010-11-01 00:00:00,0,33
KatjaSuding,2010-11-01 00:00:00,2010-12-01 00:00:00,0,34
KatjaSuding,2010-12-01 00:00:00,2011-01-01 00:00:00,0,35
KatjaSuding,2011-01-01 00:00:00,2011-02-01 00:00:00,5,36
KatjaSuding,2011-02-01 00:00:00,2011-03-01 00:00:00,9,37
KatjaSuding,2011-03-01 00:00:00,2011-04-01 00:00:00,0,38
KatjaSuding,2011-04-01 00:00:00,2011-05-01 00:00:00,0,39
KatjaSuding,2011-05-01 00:00:00,2011-06-01 00:00:00,0,40
KatjaSuding,2011-06-01 00:00:00,2011-07-01 00:00:00,0,41
KatjaSuding,2011-07-01 00:00:00,2011-08-01 00:00:00,2,42
KatjaSuding,2011-08-01 00:00:00,2011-09-01 00:00:00,1,43
KatjaSuding,2011-09-01 00:00:00,2011-10-01 00:00:00,0,44
KatjaSuding,2011-10-01 00:00:00,2011-11-01 00:00:00,0,45
KatjaSuding,2011-11-01 00:00:00,2011-12-01 00:00:00,0,46
KatjaSuding,2011-12-01 00:00:00,2012-01-01 00:00:00,3,47
KatjaSuding,2012-01-01 00:00:00,2012-02-01 00:00:00,22,48
KatjaSuding,2012-02-01 00:00:00,2012-03-01 00:00:00,19,49
KatjaSuding,2012-03-01 00:00:00,2012-04-01 00:00:00,30,50
KatjaSuding,2012-04-01 00:00:00,2012-05-01 00:00:00,46,51
KatjaSuding,2012-05-01 00:00:00,2012-06-01 00:00:00,38,52
KatjaSuding,2012-06-01 00:00:00,2012-07-01 00:00:00,7,53
KatjaSuding,2012-07-01 00:00:00,2012-08-01 00:00:00,2,54
KatjaSuding,2012-08-01 00:00:00,2012-09-01 00:00:00,5,55
KatjaSuding,2012-09-01 00:00:00,2012-10-01 00:00:00,3,56
KatjaSuding,2012-10-01 00:00:00,2012-11-01 00:00:00,0,57
KatjaSuding,2012-11-01 00:00:00,2012-12-01 00:00:00,4,58
KatjaSuding,2012-12-01 00:00:00,2013-01-01 00:00:00,0,59
KatjaSuding,2013-01-01 00:00:00,2013-02-01 00:00:00,1,60
