Henkel: &quot;The Berlin S-Bahn chaos is inextricably linked to Klaus Wowereit&quot;. Interview: http://bit.ly/hlg3MC
Angela Merkel: &quot;Law to extend the term is suspended&quot; http://bit.ly/hNV094 #cdu #japan
&quot;Klöckner guarantee&quot; for Rhineland-Palatinate. Article: http://bit.ly/ginmmD
Federal Environment Minister Norbert Röttgen in an interview with the world http://bit.ly/gIDbtg #cdu #nrw
Interview with CDU general secretary Hermann Gröhe after the federal board meeting in Mainz. Video: http://bit.ly/f81Me2
Hamburg citizens see Christoph Ahlhaus in front. Article: http://bit.ly/dViXyH #cdu
"Stefan Mappus: &quot;Conceptually, the CDU has the best offer&quot;. Interview: http://bit.ly/gmNl03"
# Röttgen: &quot;The question of security arises again after the events in #Japan&quot;: http://bit.ly/gHsEF4 #Kernergie
# Gröhe: Boyspot call of the #SPD to #Islamkonferenz is unspeakable. Article: http://bit.ly/hK5Z4o #cdu
# Gröhe: &quot;Exit with a sense of proportion and economic reason&quot;. Interview on the future of #core energy: http://bit.ly/gxaPbe #cdu
# Röttgen: &quot;The energy transition is a big future project&quot;. Article: http://bit.ly/dMY2sg #Energiepolitik
#Merkel: &quot;A lot of work ahead of us&quot;. Article on the PK after the state elections: http://bit.ly/dGA94w #ltwbw #ltwrlp
"Hermann Gröhe: &quot;Painful losses in Baden-Württemberg, in Rhineland-Palatinate at eye level&quot; http://bit.ly/f6RJng #cdu #ltwbw #ltwrlp"
Angela Merkel and Julia Klöckner: Both votes for the CDU http://bit.ly/fHBoTq #cdu #cdurlp # ltw11
Angela Merkel and Stefan Mappus: Sunday CDU vote http://bitly.com/hQdMj7 #cdu #bawue # ltw11
#Merkel: &quot;Big step for the #Euro&quot;. Article on the #EU summit: http://bit.ly/emRW2v
# Gröhe: &quot;Baden-Württemberg is the most successful federal state&quot;. Interview: http://bit.ly/ggs77z #cdu #ltwbw
#Merkel: &quot;Baden-Württemberg must continue to be well governed&quot;. http://bit.ly/gmcuX9 #cdu #ltwbw
Resolution of two federal specialist committees of the CDU Germany http://bit.ly/i5ZzA7 #cdu
&quot;Exit with a sense of proportion&quot;. Today&#39;s government statement by Angela #Merkel on #energy policy: http://bit.ly/dGc85e #Japan
Hermann # Gröhe: &quot;We acted quickly and convincingly&quot;. Interview on #energy policy: http://bit.ly/eP9oFo #cdu
#Merkel: &quot;Safety always has priority&quot;. To temporarily shut down the 7 oldest nuclear power plants: http://bit.ly/gMaJxC
The new Union magazine has been published: http://www.union-magazin.de
&quot;We need a time to pause and work through&quot;. PK by Hermann # Gröhe on the events in #Japan: http://bit.ly/e9D0tU
Merkel: &quot;We are on the side of Japan in this big test&quot; http://bit.ly/ermGRA #cdu #japan
Hermann @Groehe &quot;We are betting on a victory for the Christian-liberal coalition&quot; http://bit.ly/gwuXZA #cdu #bawue # s21
Angela Merkel: &quot;Julia Klöckner will be a very good Prime Minister&quot; http://bit.ly/gqI8y9 #cdu
#Merkel: &quot;Every country is responsible for its own debts&quot;. # Euro Summit. Interview: http://bit.ly/dVl6d0
Did you keep the overview? The #SPD quiz: http://www.schlinger-partei.de/
