Hermann @groehe &quot;Great trust for the European policy course of the government&quot; http://bit.ly/nJvuHz #cdu #efsf #kanzlermehrheit
Angela Merkel: Greece belongs to the euro area http://bit.ly/q1ssEZ #cdu #euro #europa #efsf
Bundestag votes for extended euro bailout fund http://bit.ly/o4xzPw #cdu #fdp #kanzlermehrheit #efsf
PM from # CDU-GS #Groehe on the red-green compromise in Berlin to continue building the A100: &quot;Clearance sale with the Greens&quot;. http://bit.ly/p0LGYX
#Merkel on the 70th birthday of Edmund #Stoiber: &quot;He really made a contribution to our country&quot;. http://bit.ly/nBBLsu #cdu #csu
"#Merkel at # CDU regional conference in #Karlsruhe: &quot;If things change, we have to find answers&quot;. Report at http://bit.ly/qr0ws9"
Wolfgang Schäuble: &quot;Germany remains an anchor of stability and an economic engine&quot; http://bit.ly/nbUbc7 #cdu # haushalt2012 #bundestag
Angela Merkel: &quot;Result does not meet our expectations&quot; http://bit.ly/oK91AB #cdu #cwie #mv #landtagswahl # mecklenburg-vorpommern
Hermann @groehe &quot;German-American friendship is a matter close to the heart&quot; http://bit.ly/mYRWbt #cdu #deutschland #usa #america
Lorenz Caffier: &quot;Mecklenburg-West Pomerania needs a strong CDU&quot; http://bit.ly/p6rzM4 #cdu #mv #cwiezukunft
Hermann @groehe &quot;The CDU is good for Mecklenburg-Western Pomerania&quot; http://bit.ly/nN2UOY #cdu # ltw11 #mv
Hans-Gert Poettering: &quot;Standing up for Europe is the CDU&#39;s core brand&quot; http://bit.ly/oeOOtz #cdu #europapolitik
Andrea Nahles considers Klaus Wowereit suitable for &quot;higher things&quot; ... http://www.youtube.com/watch?v=8Ycasfd2PWc… #cdu #spd #berlin # ahw11
Angela Merkel: &quot;Henkel should take responsibility for Berlin&quot; http://bit.ly/nxUpWK #cdu #berlin # ahw11
Annette Schavan: &quot;A people&#39;s party needs lively debates&quot; http://bit.ly/nb49cF #cdu #bildung #bildungspolitik
Angela Merkel: &quot;Mecklenburg-Vorpommern will go a good way with the CDU&quot; http://bit.ly/pQ4oJJ #cdu
Angela Merkel: &quot;The euro must remain a stable currency&quot; http://bit.ly/nSmBMH #cdu #europa #euro # stabilität
Hermann @Groehe: &quot;It shakes us what happens here night after night&quot; http://bit.ly/mRyw5F #berlin #autos #brandserie #berlinverstehen
# CDU top candidate Lorenz #Caffier in the #ZDF morning magazine: &quot;We want this country to go up&quot;. http://bit.ly/qBiyOG
# Kramp-Karrenbauer announces consolidation course for #Saarland in government statement. http://bit.ly/nzZLwo
&quot;Educational Republic of Germany&quot; - #CDU starts #education conferences in #Hamburg. CDU.TV report at http://bit.ly/qNeh1d
#CDU Germany starts the first of four educational conferences in Hamburg. More at http://www.cdu.de/portal2009/26423_33327.htm…
# CDU general secretary Hermann #Groehe in an # world interview: &quot;We owe our children the best #education&quot;. More at http://bit.ly/nvsqiM
Frank Henkel: &quot;We are ready to take responsibility&quot; http://bit.ly/p8PdoF #cdu #berlin #wahl # ahw11 #merkel
CDU General Secretary #Groehe on the # Berlin election: &quot;Red-red is voted out&quot;. http://bit.ly/p8eZ9M #cdu # ahw11
Frank Henkel: &quot;I want to take care of the city&#39;s problems&quot; http://bit.ly/pmHAVO #cdu #merkel #berlin # ahw11
Top meeting from CDU and German Bishops&#39; Conference http://bit.ly/qibfnh #cdu #kirche #religion
TV spot of the CDU Berlin with Frank Henkel: http://bit.ly/qG1IPV #cdu #berlin #henkel # ahw11
Annette Schavan: &quot;Looking for answers to key questions about the future together&quot; http://bit.ly/mXDuGm #Bildung # Bürgerdialog
Interview with CDU general secretary @groehe: Greece cannot avoid tough austerity http://bit.ly/nvbbg6 #Euro #griechenland
Hermann @groehe &quot;Strengthen the structured school system!&quot; http://bit.ly/qxquil #cdu #education republic
Christine Lieberknecht: &quot;Discuss the&quot; C &quot;offensively&quot; http://bit.ly/oGl3dT #cdu
Angela Merkel: &quot;The European Union must be a stability union&quot; http://bit.ly/ndkFQ8 #cdu #euro #europa
Annette Schavan: We are guided by the ethical foundations of Christianity &quot;http://bit.ly/oZnT4B #cdu #christiliches #menschenbild
Angela Merkel: &quot;The euro is the foundation of Europe&quot; http://bit.ly/n59EjX #cdu #europa #kanzlerin
The CDU commemorates the victims of the September 11 terrorist attacks http://bit.ly/r4fpf0 #cdu # 911 # 11september #terror #nyc
The CDU continues to stand for friendship with America and an unbreakable transatlantic partnership http://bit.ly/nkxnux
Angela Merkel: &quot;This city needs better governance&quot; http://bit.ly/oepIgi #cdu #berlin # ahw11
"Hermann Gröhe: CDU commemorates the victims of September 11, 2001 http://bit.ly/r4fpf0 # 911 #terror # 11september"
Hermann Gröhe: &quot;We are consistently pushing ahead with budget consolidation&quot; http://bit.ly/oWEdaJ #cdu #euro #haushalt #bundestag
Angela Merkel: &quot;Germany&#39;s future is inextricably linked to the future of Europe&quot; http://bit.ly/oAjBxz #cdu # euro-hilfen #haushalt
Hermann @groehe &quot;Frank Henkel is first choice for Berlin&quot; http://bit.ly/qL76N0 #cdu #berlin # ahw11
Angela #Merkel on the arson attacks in #Berlin: &quot;Cold blood is putting human lives at risk&quot;. More at http://bit.ly/pQ3re0 #cdu
Minister of Education Annette #Schavan in the # CDU.TV interview: &quot;We are setting the course for the future&quot;. http://bit.ly/p8bcOy #cdu
Saxony-Anhalt&#39;s Prime Minister Reiner #Haseloff in the SuperIllu summer interview: http://bit.ly/nsWuHT #cdu
